Algorithm,Run,Real Time,User Time,Sys Time
Binary Search,1,0m0.002s,0m0.002s,0m0.000s
Binary Search,2,0m0.002s,0m0.002s,0m0.000s
Binary Search,3,0m0.002s,0m0.002s,0m0.000s
Binary Search,4,0m0.002s,0m0.002s,0m0.000s
Binary Search,5,0m0.002s,0m0.000s,0m0.002s
Binary Search,6,0m0.002s,0m0.002s,0m0.000s
Binary Search,7,0m0.002s,0m0.002s,0m0.000s
Binary Search,8,0m0.002s,0m0.001s,0m0.000s
Binary Search,9,0m0.002s,0m0.001s,0m0.000s
Binary Search,10,0m0.002s,0m0.000s,0m0.002s
Binary Search,11,0m0.002s,0m0.001s,0m0.000s
Binary Search,12,0m0.002s,0m0.002s,0m0.000s
Binary Search,13,0m0.002s,0m0.002s,0m0.000s
Binary Search,14,0m0.002s,0m0.000s,0m0.002s
Binary Search,15,0m0.002s,0m0.002s,0m0.000s
Binary Search,16,0m0.002s,0m0.002s,0m0.000s
Binary Search,17,0m0.002s,0m0.001s,0m0.000s
Binary Search,18,0m0.002s,0m0.001s,0m0.000s
Binary Search,19,0m0.002s,0m0.002s,0m0.000s
Binary Search,20,0m0.002s,0m0.001s,0m0.000s
Binary Search,21,0m0.002s,0m0.000s,0m0.002s
Binary Search,22,0m0.002s,0m0.002s,0m0.000s
Binary Search,23,0m0.002s,0m0.001s,0m0.000s
Binary Search,24,0m0.002s,0m0.002s,0m0.000s
Binary Search,25,0m0.002s,0m0.002s,0m0.000s
Binary Search,26,0m0.002s,0m0.000s,0m0.002s
Binary Search,27,0m0.002s,0m0.002s,0m0.000s
Binary Search,28,0m0.002s,0m0.000s,0m0.002s
Binary Search,29,0m0.002s,0m0.002s,0m0.000s
Binary Search,30,0m0.002s,0m0.002s,0m0.000s
Binary Search,31,0m0.002s,0m0.001s,0m0.000s
Binary Search,32,0m0.002s,0m0.000s,0m0.002s
Binary Search,33,0m0.002s,0m0.002s,0m0.000s
Binary Search,34,0m0.002s,0m0.001s,0m0.000s
Binary Search,35,0m0.002s,0m0.002s,0m0.000s
Binary Search,36,0m0.002s,0m0.001s,0m0.000s
Binary Search,37,0m0.002s,0m0.000s,0m0.002s
Binary Search,38,0m0.002s,0m0.002s,0m0.000s
Binary Search,39,0m0.002s,0m0.002s,0m0.000s
Binary Search,40,0m0.002s,0m0.001s,0m0.000s
Binary Search,41,0m0.002s,0m0.001s,0m0.000s
Binary Search,42,0m0.002s,0m0.001s,0m0.000s
Binary Search,43,0m0.002s,0m0.001s,0m0.000s
Binary Search,44,0m0.002s,0m0.000s,0m0.002s
Binary Search,45,0m0.002s,0m0.001s,0m0.000s
Binary Search,46,0m0.002s,0m0.001s,0m0.000s
Binary Search,47,0m0.002s,0m0.001s,0m0.000s
Binary Search,48,0m0.002s,0m0.001s,0m0.000s
Binary Search,49,0m0.002s,0m0.001s,0m0.000s
Binary Search,50,0m0.002s,0m0.001s,0m0.000s
Binary Search,51,0m0.002s,0m0.001s,0m0.000s
Binary Search,52,0m0.002s,0m0.001s,0m0.000s
Binary Search,53,0m0.002s,0m0.001s,0m0.000s
Binary Search,54,0m0.002s,0m0.001s,0m0.000s
Binary Search,55,0m0.002s,0m0.001s,0m0.000s
Binary Search,56,0m0.002s,0m0.000s,0m0.002s
Binary Search,57,0m0.002s,0m0.001s,0m0.000s
Binary Search,58,0m0.002s,0m0.000s,0m0.002s
Binary Search,59,0m0.002s,0m0.001s,0m0.000s
Binary Search,60,0m0.002s,0m0.001s,0m0.000s
Binary Search,61,0m0.002s,0m0.001s,0m0.000s
Binary Search,62,0m0.002s,0m0.001s,0m0.000s
Binary Search,63,0m0.002s,0m0.000s,0m0.002s
Binary Search,64,0m0.002s,0m0.001s,0m0.000s
Binary Search,65,0m0.002s,0m0.001s,0m0.000s
Binary Search,66,0m0.002s,0m0.001s,0m0.000s
Binary Search,67,0m0.002s,0m0.001s,0m0.000s
Binary Search,68,0m0.002s,0m0.001s,0m0.000s
Binary Search,69,0m0.002s,0m0.001s,0m0.000s
Binary Search,70,0m0.002s,0m0.001s,0m0.000s
Binary Search,71,0m0.002s,0m0.001s,0m0.000s
Binary Search,72,0m0.002s,0m0.000s,0m0.002s
Binary Search,73,0m0.002s,0m0.001s,0m0.000s
Binary Search,74,0m0.002s,0m0.001s,0m0.000s
Binary Search,75,0m0.002s,0m0.001s,0m0.000s
Binary Search,76,0m0.002s,0m0.001s,0m0.000s
Binary Search,77,0m0.002s,0m0.001s,0m0.000s
Binary Search,78,0m0.002s,0m0.001s,0m0.000s
Binary Search,79,0m0.002s,0m0.001s,0m0.000s
Binary Search,80,0m0.002s,0m0.001s,0m0.000s
Binary Search,81,0m0.002s,0m0.001s,0m0.000s
Binary Search,82,0m0.002s,0m0.001s,0m0.000s
Binary Search,83,0m0.002s,0m0.001s,0m0.000s
Binary Search,84,0m0.002s,0m0.000s,0m0.002s
Binary Search,85,0m0.002s,0m0.001s,0m0.000s
Binary Search,86,0m0.002s,0m0.000s,0m0.002s
Binary Search,87,0m0.002s,0m0.001s,0m0.000s
Binary Search,88,0m0.002s,0m0.001s,0m0.000s
Binary Search,89,0m0.002s,0m0.001s,0m0.000s
Binary Search,90,0m0.002s,0m0.001s,0m0.000s
Binary Search,91,0m0.002s,0m0.000s,0m0.002s
Binary Search,92,0m0.002s,0m0.002s,0m0.000s
Binary Search,93,0m0.002s,0m0.000s,0m0.002s
Binary Search,94,0m0.002s,0m0.001s,0m0.000s
Binary Search,95,0m0.002s,0m0.001s,0m0.000s
Binary Search,96,0m0.002s,0m0.002s,0m0.000s
Binary Search,97,0m0.002s,0m0.001s,0m0.000s
Binary Search,98,0m0.002s,0m0.000s,0m0.002s
Binary Search,99,0m0.002s,0m0.001s,0m0.000s
Binary Search,100,0m0.002s,0m0.001s,0m0.000s
